Plan,Premium
FAMILYFLOATER:41 - 45:4:3:018,"29,607:54,772:79,938"
FAMILYFLOATER:41 - 45:5:4:002,"11,110:20,554:29,998"
FAMILYFLOATER:41 - 45:5:4:004,"12,590:23,292:33,994"
FAMILYFLOATER:41 - 45:5:4:006,"14,729:27,248:39,768"
FAMILYFLOATER:41 - 45:5:4:008,"15,732:29,105:42,479"
FAMILYFLOATER:41 - 45:5:4:010,"19,316:35,734:52,152"
FAMILYFLOATER:41 - 45:5:4:012,"22,813:42,204:61,595"
FAMILYFLOATER:41 - 45:5:4:014,"28,629:52,964:77,298"
FAMILYFLOATER:41 - 45:5:4:016,"31,477:58,232:84,987"
FAMILYFLOATER:41 - 45:5:4:018,"34,550:63,917:93,284"
FAMILYFLOATER:41 - 45:5:3:002,"12,622:23,350:34,078"
FAMILYFLOATER:41 - 45:5:3:004,"14,326:26,503:38,681"
FAMILYFLOATER:41 - 45:5:3:006,"16,512:30,548:44,584"
FAMILYFLOATER:41 - 45:5:3:008,"17,932:33,175:48,418"
FAMILYFLOATER:41 - 45:5:3:010,"21,692:40,130:58,570"
FAMILYFLOATER:41 - 45:5:3:012,"25,335:46,870:68,404"
FAMILYFLOATER:41 - 45:5:3:014,"32,486:60,099:87,712"
FAMILYFLOATER:41 - 45:5:3:016,"34,899:64,562:94,226"
FAMILYFLOATER:41 - 45:5:3:018,"37,499:69,373:101,247"
FAMILYFLOATER:41 - 45:6:4:002,"13,835:25,595:37,354"
FAMILYFLOATER:41 - 45:6:4:004,"15,674:28,998:42,322"
FAMILYFLOATER:41 - 45:6:4:006,"18,198:33,666:49,134"
FAMILYFLOATER:41 - 45:6:4:008,"19,786:36,605:53,423"
FAMILYFLOATER:41 - 45:6:4:010,"24,164:44,703:65,242"
FAMILYFLOATER:41 - 45:6:4:012,"28,424:52,586:76,746"
FAMILYFLOATER:41 - 45:6:4:014,"36,194:66,959:97,724"
FAMILYFLOATER:41 - 45:6:4:016,"39,224:72,565:105,906"
FAMILYFLOATER:41 - 45:6:4:018,"42,442:78,518:114,594"
FAMILYFLOATER:46 - 50:2:0:002,14145:26168:38191
FAMILYFLOATER:46 - 50:2:0:004,16090:29767:43445
FAMILYFLOATER:46 - 50:2:0:006,18031:33357:48682
FAMILYFLOATER:46 - 50:2:0:008,19366:35826:52286
FAMILYFLOATER:46 - 50:2:0:010,22958:42473:61986
FAMILYFLOATER:46 - 50:2:0:012,25379:46950:68522
FAMILYFLOATER:46 - 50:2:0:014,30901:57168:83434
FAMILYFLOATER:46 - 50:2:0:016,31858:58937:86015
FAMILYFLOATER:46 - 50:2:0:018,"32,765:60,616:88,466"
FAMILYFLOATER:46 - 50:2:1:002,10101:18686:27271
FAMILYFLOATER:46 - 50:2:1:004,11630:21515:31400
FAMILYFLOATER:46 - 50:2:1:006,13157:24340:35524
FAMILYFLOATER:46 - 50:2:1:008,14129:26138:38147
FAMILYFLOATER:46 - 50:2:1:010,16753:30995:45235
FAMILYFLOATER:46 - 50:2:1:012,18766:34717:50668
FAMILYFLOATER:46 - 50:2:1:014,22860:42290:61721
FAMILYFLOATER:46 - 50:2:1:016,24106:44596:65086
FAMILYFLOATER:46 - 50:2:1:018,"25,436:47,057:68,677"
FAMILYFLOATER:46 - 50:3:1:002,16345:30237:44130
FAMILYFLOATER:46 - 50:3:1:004,18720:34631:50543
FAMILYFLOATER:46 - 50:3:1:006,21086:39009:56932
FAMILYFLOATER:46 - 50:3:1:008,22724:42041:61357
FAMILYFLOATER:46 - 50:3:1:010,27043:50029:73016
FAMILYFLOATER:46 - 50:3:1:012,30178:55829:81481
FAMILYFLOATER:46 - 50:3:1:014,36655:67812:98969
FAMILYFLOATER:46 - 50:3:1:016,38315:70883:103451
FAMILYFLOATER:46 - 50:3:1:018,"40,026:74,048:108,071"
FAMILYFLOATER:46 - 50:3:2:002,"12,247:22,659:33,069"
FAMILYFLOATER:46 - 50:3:2:004,"13,993:25,888:37,782"
FAMILYFLOATER:46 - 50:3:2:006,"15,954:29,515:43,076"
FAMILYFLOATER:46 - 50:3:2:008,"16,897:31,260:45,623"
FAMILYFLOATER:46 - 50:3:2:010,"20,255:37,471:54,688"
FAMILYFLOATER:46 - 50:3:2:012,"22,987:42,526:62,065"
FAMILYFLOATER:46 - 50:3:2:014,"28,067:51,924:75,781"
FAMILYFLOATER:46 - 50:3:2:016,"30,022:55,540:81,058"
FAMILYFLOATER:46 - 50:3:2:018,"32,173:59,521:86,868"
FAMILYFLOATER:46 - 50:4:2:002,18399:34039:49678
FAMILYFLOATER:46 - 50:4:2:004,20982:38817:56651
FAMILYFLOATER:46 - 50:4:2:006,23774:43984:64193
FAMILYFLOATER:46 - 50:4:2:008,25411:47011:68611
FAMILYFLOATER:46 - 50:4:2:010,30455:56341:82229
FAMILYFLOATER:46 - 50:4:2:012,34304:63464:92623
FAMILYFLOATER:46 - 50:4:2:014,41734:77207:112680
FAMILYFLOATER:46 - 50:4:2:016,44098:81580:119062
FAMILYFLOATER:46 - 50:4:2:018,"46,614:86,236:125,858"
FAMILYFLOATER:46 - 50:4:3:002,"13,560:25,087:36,613"
FAMILYFLOATER:46 - 50:4:3:004,"15,454:28,590:41,726"
FAMILYFLOATER:46 - 50:4:3:006,"17,780:32,894:48,006"
FAMILYFLOATER:46 - 50:4:3:008,"18,920:35,003:51,085"
FAMILYFLOATER:46 - 50:4:3:010,"22,950:42,458:61,966"
FAMILYFLOATER:46 - 50:4:3:012,"26,358:48,762:71,166"
FAMILYFLOATER:46 - 50:4:3:014,"32,111:59,406:86,701"
FAMILYFLOATER:46 - 50:4:3:016,"34,741:64,271:93,800"
FAMILYFLOATER:46 - 50:4:3:018,"37,564:69,493:101,422"
FAMILYFLOATER:46 - 50:5:4:002,"14,875:27,520:40,164"
FAMILYFLOATER:46 - 50:5:4:004,"16,914:31,292:45,669"
FAMILYFLOATER:46 - 50:5:4:006,"19,607:36,271:52,936"
FAMILYFLOATER:46 - 50:5:4:008,"20,942:38,743:56,544"
FAMILYFLOATER:46 - 50:5:4:010,"25,646:47,446:69,245"
FAMILYFLOATER:46 - 50:5:4:012,"29,728:54,997:80,266"
FAMILYFLOATER:46 - 50:5:4:014,"36,157:66,890:97,622"
FAMILYFLOATER:46 - 50:5:4:016,"39,460:73,001:106,542"
FAMILYFLOATER:46 - 50:5:4:018,"42,956:79,469:115,981"
FAMILYFLOATER:46 - 50:5:3:002,"19,712:36,469:53,225"
FAMILYFLOATER:46 - 50:5:3:004,"22,442:41,518:60,594"
FAMILYFLOATER:46 - 50:5:3:006,"25,602:47,364:69,125"
FAMILYFLOATER:46 - 50:5:3:008,"27,434:50,754:74,074"
FAMILYFLOATER:46 - 50:5:3:010,"33,150:61,327:89,504"
FAMILYFLOATER:46 - 50:5:3:012,"37,676:69,702:101,726"
FAMILYFLOATER:46 - 50:5:3:014,"45,776:84,688:123,598"
FAMILYFLOATER:46 - 50:5:3:016,"48,817:90,312:131,807"
FAMILYFLOATER:46 - 50:5:3:018,"52,004:96,208:140,411"
FAMILYFLOATER:46 - 50:6:4:002,"21,028:38,900:56,774"
FAMILYFLOATER:46 - 50:6:4:004,"23,903:44,221:64,539"
FAMILYFLOATER:46 - 50:6:4:006,"27,427:50,742:74,056"
FAMILYFLOATER:46 - 50:6:4:008,"29,456:54,494:79,532"
FAMILYFLOATER:46 - 50:6:4:010,"35,845:66,314:96,784"
FAMILYFLOATER:46 - 50:6:4:012,"41,047:75,936:110,826"
FAMILYFLOATER:46 - 50:6:4:014,"49,822:92,171:134,520"
FAMILYFLOATER:46 - 50:6:4:016,"53,537:99,042:144,548"
FAMILYFLOATER:46 - 50:6:4:018,"57,397:106,184:154,972"
FAMILYFLOATER:51 - 55:2:0:002,16032:29660:43287
FAMILYFLOATER:51 - 55:2:0:004,18220:33706:49193
FAMILYFLOATER:51 - 55:2:0:006,21609:39976:58344
FAMILYFLOATER:51 - 55:2:0:008,23147:42821:62496
FAMILYFLOATER:51 - 55:2:0:010,27118:50167:73217
FAMILYFLOATER:51 - 55:2:0:012,29850:55223:80596
FAMILYFLOATER:51 - 55:2:0:014,36649:67801:98953
FAMILYFLOATER:51 - 55:2:0:016,37837:70000:102161
FAMILYFLOATER:51 - 55:2:0:018,"38,909:71,981:105,053"
FAMILYFLOATER:51 - 55:2:1:002,11271:20852:30433
FAMILYFLOATER:51 - 55:2:1:004,12952:23962:34971
FAMILYFLOATER:51 - 55:2:1:006,15357:28410:41464
FAMILYFLOATER:51 - 55:2:1:008,16454:30442:44428
FAMILYFLOATER:51 - 55:2:1:010,19312:35726:52141
FAMILYFLOATER:51 - 55:2:1:012,21517:39805:58094
FAMILYFLOATER:51 - 55:2:1:014,26394:48829:71264
FAMILYFLOATER:51 - 55:2:1:016,27785:51403:75020
FAMILYFLOATER:51 - 55:2:1:018,"29,215:54,048:78,881"
FAMILYFLOATER:51 - 55:3:1:002,18331:33912:49494
FAMILYFLOATER:51 - 55:3:1:004,20960:38775:56590
FAMILYFLOATER:51 - 55:3:1:006,24831:45937:67044
FAMILYFLOATER:51 - 55:3:1:008,26684:49366:72047
FAMILYFLOATER:51 - 55:3:1:010,31397:58084:84770
FAMILYFLOATER:51 - 55:3:1:012,34860:64490:94122
FAMILYFLOATER:51 - 55:3:1:014,42670:78940:115210
FAMILYFLOATER:51 - 55:3:1:016,44575:82465:120354
FAMILYFLOATER:51 - 55:3:1:018,"46,458:85,948:125,436"
FAMILYFLOATER:51 - 55:3:2:002,"13,528:25,028:36,526"
FAMILYFLOATER:51 - 55:3:2:004,"15,440:28,564:41,688"
FAMILYFLOATER:51 - 55:3:2:006,"18,343:33,934:49,525"
FAMILYFLOATER:51 - 55:3:2:008,"19,423:35,933:52,442"
FAMILYFLOATER:51 - 55:3:2:010,"23,032:42,607:62,184"
FAMILYFLOATER:51 - 55:3:2:012,"25,974:48,052:70,129"
FAMILYFLOATER:51 - 55:3:2:014,"31,904:59,024:86,143"
FAMILYFLOATER:51 - 55:3:2:016,"34,016:62,930:91,843"
FAMILYFLOATER:51 - 55:3:2:018,"36,275:67,108:97,942"
FAMILYFLOATER:51 - 55:4:2:002,20483:37892:55302
FAMILYFLOATER:51 - 55:4:2:004,23332:43167:62999
FAMILYFLOATER:51 - 55:4:2:006,27687:51223:74757
FAMILYFLOATER:51 - 55:4:2:008,29548:54662:79777
FAMILYFLOATER:51 - 55:4:2:010,35003:64754:94507
FAMILYFLOATER:51 - 55:4:2:012,39196:72512:105828
FAMILYFLOATER:51 - 55:4:2:014,48018:88834:129648
FAMILYFLOATER:51 - 55:4:2:016,50638:93680:136723
FAMILYFLOATER:51 - 55:4:2:018,"53,332:98,664:143,995"
FAMILYFLOATER:51 - 55:4:3:002,"14,842:27,459:40,075"
FAMILYFLOATER:51 - 55:4:3:004,"16,903:31,270:45,637"
FAMILYFLOATER:51 - 55:4:3:006,"20,171:37,315:54,460"
FAMILYFLOATER:51 - 55:4:3:008,"21,446:39,676:57,905"
FAMILYFLOATER:51 - 55:4:3:010,"25,728:47,598:69,467"
FAMILYFLOATER:51 - 55:4:3:012,"29,345:54,287:79,230"
FAMILYFLOATER:51 - 55:4:3:014,"35,951:66,508:97,066"
FAMILYFLOATER:51 - 55:4:3:016,"38,734:71,658:104,581"
FAMILYFLOATER:51 - 55:4:3:018,"41,668:77,086:112,504"
FAMILYFLOATER:51 - 55:5:4:002,"16,158:29,891:43,625"
FAMILYFLOATER:51 - 55:5:4:004,"18,364:33,972:49,581"
FAMILYFLOATER:51 - 55:5:4:006,"21,996:40,693:59,389"
FAMILYFLOATER:51 - 55:5:4:008,"23,468:43,416:63,364"
FAMILYFLOATER:51 - 55:5:4:010,"28,424:52,585:76,747"
FAMILYFLOATER:51 - 55:5:4:012,"32,714:60,522:88,330"
FAMILYFLOATER:51 - 55:5:4:014,"39,996:73,992:107,988"
FAMILYFLOATER:51 - 55:5:4:016,"43,453:80,388:117,324"
FAMILYFLOATER:51 - 55:5:4:018,"47,060:87,061:127,062"
FAMILYFLOATER:51 - 55:5:3:002,"21,797:40,325:58,852"
FAMILYFLOATER:51 - 55:5:3:004,"24,795:45,871:66,946"
FAMILYFLOATER:51 - 55:5:3:006,"29,515:54,604:79,693"
FAMILYFLOATER:51 - 55:5:3:008,"31,571:58,405:85,241"
FAMILYFLOATER:51 - 55:5:3:010,"37,699:69,744:101,789"
FAMILYFLOATER:51 - 55:5:3:012,"42,568:78,750:114,932"
FAMILYFLOATER:51 - 55:5:3:014,"52,063:96,317:140,572"
FAMILYFLOATER:51 - 55:5:3:016,"55,356:102,408:149,461"
FAMILYFLOATER:51 - 55:5:3:018,"58,726:108,642:158,558"
FAMILYFLOATER:51 - 55:6:4:002,"23,111:42,757:62,401"
FAMILYFLOATER:51 - 55:6:4:004,"26,256:48,573:70,892"
FAMILYFLOATER:51 - 55:6:4:006,"31,342:57,983:84,624"
FAMILYFLOATER:51 - 55:6:4:008,"33,593:62,147:90,701"
FAMILYFLOATER:51 - 55:6:4:010,"40,396:74,732:109,068"
FAMILYFLOATER:51 - 55:6:4:012,"45,937:84,985:124,032"
FAMILYFLOATER:51 - 55:6:4:014,"56,108:103,801:151,493"
FAMILYFLOATER:51 - 55:6:4:016,"60,076:111,139:162,203"
FAMILYFLOATER:51 - 55:6:4:018,"64,117:118,618:173,118"
FAMILYFLOATER:56 - 60:2:0:002,20782:38448:56112
FAMILYFLOATER:56 - 60:2:0:004,23776:43984:64193
FAMILYFLOATER:56 - 60:2:0:006,26867:49704:72541
FAMILYFLOATER:56 - 60:2:0:008,28704:53102:77501
FAMILYFLOATER:56 - 60:2:0:010,33233:61481:89729
FAMILYFLOATER:56 - 60:2:0:012,36424:67385:98345
FAMILYFLOATER:56 - 60:2:0:014,45100:83435:121770
FAMILYFLOATER:56 - 60:2:0:016,46626:86258:125891
FAMILYFLOATER:56 - 60:2:0:018,"47,945:88,697:129,450"
FAMILYFLOATER:56 - 60:2:1:002,14222:26311:38399
FAMILYFLOATER:56 - 60:2:1:004,16405:30347:44291
FAMILYFLOATER:56 - 60:2:1:006,18646:34497:50345
FAMILYFLOATER:56 - 60:2:1:008,19930:36870:53809
FAMILYFLOATER:56 - 60:2:1:010,23137:42804:62471
FAMILYFLOATER:56 - 60:2:1:012,25628:47412:69196
FAMILYFLOATER:56 - 60:2:1:014,31680:58607:85535
FAMILYFLOATER:56 - 60:2:1:016,33281:61570:89860
FAMILYFLOATER:56 - 60:2:1:018,"34,866:64,502:94,138"
FAMILYFLOATER:56 - 60:3:1:002,23326:43154:62981
FAMILYFLOATER:56 - 60:3:1:004,26805:49589:72372
FAMILYFLOATER:56 - 60:3:1:006,30384:56211:82038
FAMILYFLOATER:56 - 60:3:1:008,32551:60221:87889
FAMILYFLOATER:56 - 60:3:1:010,37854:70031:102208
FAMILYFLOATER:56 - 60:3:1:012,41801:77332:112861
FAMILYFLOATER:56 - 60:3:1:014,51593:95446:139300
FAMILYFLOATER:56 - 60:3:1:016,53855:99632:145409
FAMILYFLOATER:56 - 60:3:1:018,"55,998:103,596:151,194"
FAMILYFLOATER:56 - 60:3:2:002,"16,756:30,999:45,241"
FAMILYFLOATER:56 - 60:3:2:004,"19,218:35,552:51,887"
FAMILYFLOATER:56 - 60:3:2:006,"21,962:40,630:59,298"
FAMILYFLOATER:56 - 60:3:2:008,"23,249:43,009:62,771"
FAMILYFLOATER:56 - 60:3:2:010,"27,241:50,395:73,550"
FAMILYFLOATER:56 - 60:3:2:012,"30,498:56,420:82,344"
FAMILYFLOATER:56 - 60:3:2:014,"37,721:69,782:101,845"
FAMILYFLOATER:56 - 60:3:2:016,"40,063:74,118:108,172"
FAMILYFLOATER:56 - 60:3:2:018,"42,494:78,616:114,736"
FAMILYFLOATER:56 - 60:4:2:002,25726:47593:69460
FAMILYFLOATER:56 - 60:4:2:004,29467:54514:79560
FAMILYFLOATER:56 - 60:4:2:006,33535:62039:90544
FAMILYFLOATER:56 - 60:4:2:008,35726:66094:96461
FAMILYFLOATER:56 - 60:4:2:010,41802:77334:112865
FAMILYFLOATER:56 - 60:4:2:012,46505:86033:125562
FAMILYFLOATER:56 - 60:4:2:014,57413:106213:155014
FAMILYFLOATER:56 - 60:4:2:016,60408:111756:163103
FAMILYFLOATER:56 - 60:4:2:018,"63,378:117,251:171,122"
FAMILYFLOATER:56 - 60:4:3:002,"18,071:33,432:48,794"
FAMILYFLOATER:56 - 60:4:3:004,"20,680:38,258:55,836"
FAMILYFLOATER:56 - 60:4:3:006,"23,789:44,010:64,232"
FAMILYFLOATER:56 - 60:4:3:008,"25,272:46,752:68,233"
FAMILYFLOATER:56 - 60:4:3:010,"29,938:55,385:80,833"
FAMILYFLOATER:56 - 60:4:3:012,"33,869:62,657:91,446"
FAMILYFLOATER:56 - 60:4:3:014,"41,767:77,268:112,770"
FAMILYFLOATER:56 - 60:4:3:016,"44,784:82,850:120,917"
FAMILYFLOATER:56 - 60:4:3:018,"47,885:88,588:129,290"
FAMILYFLOATER:56 - 60:5:4:002,"19,387:35,864:52,343"
FAMILYFLOATER:56 - 60:5:4:004,"22,140:40,960:59,779"
FAMILYFLOATER:56 - 60:5:4:006,"25,615:47,388:69,161"
FAMILYFLOATER:56 - 60:5:4:008,"27,294:50,494:73,692"
FAMILYFLOATER:56 - 60:5:4:010,"32,634:60,373:88,112"
FAMILYFLOATER:56 - 60:5:4:012,"37,238:68,892:100,546"
FAMILYFLOATER:56 - 60:5:4:014,"45,812:84,752:123,692"
FAMILYFLOATER:56 - 60:5:4:016,"49,504:91,582:133,658"
FAMILYFLOATER:56 - 60:5:4:018,"53,278:98,564:143,850"
FAMILYFLOATER:56 - 60:5:3:002,"27,041:50,027:73,013"
FAMILYFLOATER:56 - 60:5:3:004,"30,931:57,221:83,512"
FAMILYFLOATER:56 - 60:5:3:006,"35,361:65,419:95,476"
FAMILYFLOATER:56 - 60:5:3:008,"37,750:69,838:101,924"
FAMILYFLOATER:56 - 60:5:3:010,"44,500:82,324:120,148"
FAMILYFLOATER:56 - 60:5:3:012,"49,876:92,269:134,663"
FAMILYFLOATER:56 - 60:5:3:014,"61,458:113,699:165,938"
FAMILYFLOATER:56 - 60:5:3:016,"65,129:120,488:175,848"
FAMILYFLOATER:56 - 60:5:3:018,"68,768:127,222:185,675"
FAMILYFLOATER:56 - 60:6:4:002,"28,357:52,459:76,562"
FAMILYFLOATER:56 - 60:6:4:004,"32,391:59,924:87,456"
FAMILYFLOATER:56 - 60:6:4:006,"37,188:68,797:100,407"
FAMILYFLOATER:56 - 60:6:4:008,"39,772:73,578:107,384"
FAMILYFLOATER:56 - 60:6:4:010,"47,195:87,312:127,428"
FAMILYFLOATER:56 - 60:6:4:012,"53,245:98,504:143,762"
FAMILYFLOATER:56 - 60:6:4:014,"65,503:121,182:176,860"
FAMILYFLOATER:56 - 60:6:4:016,"69,848:129,220:188,590"
FAMILYFLOATER:56 - 60:6:4:018,"74,161:137,198:200,234"
FAMILYFLOATER:61 - 65:2:0:002,28490:52706:76921
FAMILYFLOATER:61 - 65:2:0:004,33713:62369:91025
FAMILYFLOATER:61 - 65:2:0:006,38375:70994:103613
FAMILYFLOATER:61 - 65:2:0:008,34736:64262:93788
FAMILYFLOATER:61 - 65:2:0:010,39618:73294:106969
FAMILYFLOATER:61 - 65:2:0:012,43183:79889:116594
FAMILYFLOATER:61 - 65:2:0:014,54049:99991:145934
FAMILYFLOATER:61 - 65:2:0:016,55976:103558:151138
FAMILYFLOATER:61 - 65:2:0:018,"57,550:106,466:155,383"
FAMILYFLOATER:61 - 65:2:1:002,19128:35386:51645
FAMILYFLOATER:61 - 65:2:1:004,22711:42015:61318
FAMILYFLOATER:61 - 65:2:1:006,25948:48004:70060
FAMILYFLOATER:61 - 65:2:1:008,23501:43476:63452
FAMILYFLOATER:61 - 65:2:1:010,26881:49730:72580
FAMILYFLOATER:61 - 65:2:1:012,29539:54647:79756
FAMILYFLOATER:61 - 65:2:1:014,36898:68262:99625
FAMILYFLOATER:61 - 65:2:1:016,38658:71518:104378
FAMILYFLOATER:61 - 65:2:1:018,"40,294:74,543:108,793"
FAMILYFLOATER:61 - 65:3:1:002,31542:58353:85163
FAMILYFLOATER:61 - 65:3:1:004,37379:69151:100924
FAMILYFLOATER:61 - 65:3:1:006,42628:78862:115097
FAMILYFLOATER:61 - 65:3:1:008,38670:71539:104408
FAMILYFLOATER:61 - 65:3:1:010,44275:81910:119544
FAMILYFLOATER:61 - 65:3:1:012,48538:89794:131050
FAMILYFLOATER:61 - 65:3:1:014,60575:112063:163552
FAMILYFLOATER:61 - 65:3:1:016,63167:116858:170550
FAMILYFLOATER:61 - 65:3:1:018,"65,470:121,120:176,768"
FAMILYFLOATER:61 - 65:3:2:002,"22,233:41,131:60,030"
FAMILYFLOATER:61 - 65:3:2:004,"26,242:48,549:70,855"
FAMILYFLOATER:61 - 65:3:2:006,"30,092:55,670:81,249"
FAMILYFLOATER:61 - 65:3:2:008,"27,066:50,071:73,078"
FAMILYFLOATER:61 - 65:3:2:010,"31,189:57,700:84,211"
FAMILYFLOATER:61 - 65:3:2:012,"34,559:63,934:93,307"
FAMILYFLOATER:61 - 65:3:2:014,"43,165:79,855:116,546"
FAMILYFLOATER:61 - 65:3:2:016,"45,601:84,364:123,125"
FAMILYFLOATER:61 - 65:3:2:018,"47,987:88,776:129,565"
FAMILYFLOATER:61 - 65:4:2:002,34449:63730:93011
FAMILYFLOATER:61 - 65:4:2:004,40681:75261:109840
FAMILYFLOATER:61 - 65:4:2:006,46515:86052:125590
FAMILYFLOATER:61 - 65:4:2:008,42030:77754:113479
FAMILYFLOATER:61 - 65:4:2:010,48359:89464:130568
FAMILYFLOATER:61 - 65:4:2:012,53317:98636:143956
FAMILYFLOATER:61 - 65:4:2:014,66528:123076:179624
FAMILYFLOATER:61 - 65:4:2:016,69785:129101:188418
FAMILYFLOATER:61 - 65:4:2:018,"72,817:134,712:196,607"
FAMILYFLOATER:61 - 65:4:3:002,"23,548:43,564:63,582"
FAMILYFLOATER:61 - 65:4:3:004,"27,702:51,247:74,794"
FAMILYFLOATER:61 - 65:4:3:006,"31,919:59,051:86,182"
FAMILYFLOATER:61 - 65:4:3:008,"28,784:53,251:77,717"
FAMILYFLOATER:61 - 65:4:3:010,"33,480:61,938:90,396"
FAMILYFLOATER:61 - 65:4:3:012,"37,424:69,235:101,046"
FAMILYFLOATER:61 - 65:4:3:014,"46,603:86,216:125,830"
FAMILYFLOATER:61 - 65:4:3:016,"49,613:91,783:133,955"
FAMILYFLOATER:61 - 65:4:3:018,"52,570:97,254:141,938"
FAMILYFLOATER:61 - 65:5:4:002,"24,863:45,997:67,131"
FAMILYFLOATER:61 - 65:5:4:004,"29,162:53,950:78,738"
FAMILYFLOATER:61 - 65:5:4:006,"33,745:62,429:91,112"
FAMILYFLOATER:61 - 65:5:4:008,"30,503:56,430:82,357"
FAMILYFLOATER:61 - 65:5:4:010,"35,772:66,178:96,584"
FAMILYFLOATER:61 - 65:5:4:012,"40,289:74,534:108,780"
FAMILYFLOATER:61 - 65:5:4:014,"50,042:92,578:135,114"
FAMILYFLOATER:61 - 65:5:4:016,"53,624:99,205:144,785"
FAMILYFLOATER:61 - 65:5:4:018,"57,154:105,734:154,314"
FAMILYFLOATER:61 - 65:5:3:002,"35,764:66,164:96,563"
FAMILYFLOATER:61 - 65:5:3:004,"42,140:77,958:113,776"
FAMILYFLOATER:61 - 65:5:3:006,"48,342:89,434:130,524"
FAMILYFLOATER:61 - 65:5:3:008,"43,748:80,934:118,120"
FAMILYFLOATER:61 - 65:5:3:010,"50,650:93,702:136,754"
FAMILYFLOATER:61 - 65:5:3:012,"56,183:103,937:151,692"
FAMILYFLOATER:61 - 65:5:3:014,"69,966:129,437:188,908"
FAMILYFLOATER:61 - 65:5:3:016,"73,795:136,520:199,246"
FAMILYFLOATER:61 - 65:5:3:018,"77,401:143,191:208,982"
FAMILYFLOATER:61 - 65:6:4:002,"37,079:68,596:100,113"
FAMILYFLOATER:61 - 65:6:4:004,"43,599:80,660:117,720"
FAMILYFLOATER:61 - 65:6:4:006,"50,168:92,811:135,454"
FAMILYFLOATER:61 - 65:6:4:008,"45,467:84,113:122,760"
FAMILYFLOATER:61 - 65:6:4:010,"52,942:97,942:142,942"
FAMILYFLOATER:61 - 65:6:4:012,"59,047:109,237:159,427"
FAMILYFLOATER:61 - 65:6:4:014,"73,404:135,797:198,191"
FAMILYFLOATER:61 - 65:6:4:016,"77,806:143,941:210,077"
FAMILYFLOATER:61 - 65:6:4:018,"81,984:151,672:221,358"
FAMILYFLOATER:66 - 70:2:0:002,41835:77394:112954
FAMILYFLOATER:66 - 70:2:0:004,53854:99629:145405
FAMILYFLOATER:66 - 70:2:0:006,61690:114126:166563
FAMILYFLOATER:66 - 70:2:0:008,55682:103014:150344
FAMILYFLOATER:66 - 70:2:0:010,62658:115916:169176
FAMILYFLOATER:66 - 70:2:0:012,67951:125710:183468
FAMILYFLOATER:66 - 70:2:0:014,85890:158897:231904
FAMILYFLOATER:66 - 70:2:0:016,89092:164819:240547
FAMILYFLOATER:66 - 70:2:0:018,"91,586:169,435:247,283"
FAMILYFLOATER:66 - 70:2:1:002,28036:51866:75696
FAMILYFLOATER:66 - 70:2:1:004,36018:66634:97249
FAMILYFLOATER:66 - 70:2:1:006,41350:76497:111645
FAMILYFLOATER:66 - 70:2:1:008,37338:69076:100813
FAMILYFLOATER:66 - 70:2:1:010,42101:77887:113672
FAMILYFLOATER:66 - 70:2:1:012,45900:84916:123930
FAMILYFLOATER:66 - 70:2:1:014,57932:107176:156418
FAMILYFLOATER:66 - 70:2:1:016,60535:111989:163444
FAMILYFLOATER:66 - 70:2:1:018,"62,779:116,141:169,504"
FAMILYFLOATER:66 - 70:3:1:002,46132:85344:124556
FAMILYFLOATER:66 - 70:3:1:004,59279:109664:160051
FAMILYFLOATER:66 - 70:3:1:006,67976:125756:183537
FAMILYFLOATER:66 - 70:3:1:008,61442:113669:165895
FAMILYFLOATER:66 - 70:3:1:010,69323:128248:187171
FAMILYFLOATER:66 - 70:3:1:012,75464:139609:203754
FAMILYFLOATER:66 - 70:3:1:014,95191:176104:257016
FAMILYFLOATER:66 - 70:3:1:016,99169:183462:267755
FAMILYFLOATER:66 - 70:3:1:018,"102,475:189,580:276,684"
FAMILYFLOATER:66 - 70:3:2:002,"32,542:60,203:87,863"
FAMILYFLOATER:66 - 70:3:2:004,"41,526:76,824:112,121"
FAMILYFLOATER:66 - 70:3:2:006,"47,782:88,396:129,009"
FAMILYFLOATER:66 - 70:3:2:008,"42,956:79,470:115,984"
FAMILYFLOATER:66 - 70:3:2:010,"48,668:90,037:131,405"
FAMILYFLOATER:66 - 70:3:2:012,"53,350:98,696:144,043"
FAMILYFLOATER:66 - 70:3:2:014,"67,322:124,547:181,771"
FAMILYFLOATER:66 - 70:3:2:016,"70,724:130,841:190,957"
FAMILYFLOATER:66 - 70:3:2:018,"73,810:136,548:199,286"
FAMILYFLOATER:66 - 70:4:2:002,50284:93025:135767
FAMILYFLOATER:66 - 70:4:2:004,64336:119022:173707
FAMILYFLOATER:66 - 70:4:2:006,73896:136708:199520
FAMILYFLOATER:66 - 70:4:2:008,66629:123263:179897
FAMILYFLOATER:66 - 70:4:2:010,75415:139518:203621
FAMILYFLOATER:66 - 70:4:2:012,82403:152446:222488
FAMILYFLOATER:66 - 70:4:2:014,103920:192252:280584
FAMILYFLOATER:66 - 70:4:2:016,108673:201044:293417
FAMILYFLOATER:66 - 70:4:2:018,"112,790:208,662:304,534"
FAMILYFLOATER:66 - 70:4:3:002,"33,856:62,633:91,411"
FAMILYFLOATER:66 - 70:4:3:004,"42,987:79,526:116,065"
