Plan,Premium
FAMILYFLOATER:41 - 45:2:0:002,6600:12209:17819
FAMILYFLOATER:41 - 45:2:0:004,7473:13825:20177
FAMILYFLOATER:41 - 45:2:0:006,8408:15554:22701
FAMILYFLOATER:41 - 45:2:0:008,10064:18619:27174
FAMILYFLOATER:41 - 45:2:0:010,11758:21753:31747
FAMILYFLOATER:41 - 45:2:0:012,13353:24704:36054
FAMILYFLOATER:41 - 45:2:0:014,17881:33080:48278
FAMILYFLOATER:41 - 45:2:0:016,18365:33976:49586
FAMILYFLOATER:41 - 45:2:0:018,18871:34911:50951
FAMILYFLOATER:41 - 45:2:0:020,58522:108266:158010
FAMILYFLOATER:41 - 45:2:0:022,66221:122509:178796
FAMILYFLOATER:41 - 45:2:1:002,5728:10597:15465
FAMILYFLOATER:41 - 45:2:1:004,6598:12206:17814
FAMILYFLOATER:41 - 45:2:1:006,7508:13891:20273
FAMILYFLOATER:41 - 45:2:1:008,8849:16370:23891
FAMILYFLOATER:41 - 45:2:1:010,10395:19230:28066
FAMILYFLOATER:41 - 45:2:1:012,11870:21959:32049
FAMILYFLOATER:41 - 45:2:1:014,15285:28278:41271
FAMILYFLOATER:41 - 45:2:1:016,16174:29922:43669
FAMILYFLOATER:41 - 45:2:1:018,17172:31768:46364
FAMILYFLOATER:41 - 45:2:1:020,45961:85029:124096
FAMILYFLOATER:41 - 45:2:1:022,52011:96221:140430
FAMILYFLOATER:41 - 45:3:1:002,8109:15002:21895
FAMILYFLOATER:41 - 45:3:1:004,9285:17177:25069
FAMILYFLOATER:41 - 45:3:1:006,10522:19465:28409
FAMILYFLOATER:41 - 45:3:1:008,12623:23352:34081
FAMILYFLOATER:41 - 45:3:1:010,14896:27558:40219
FAMILYFLOATER:41 - 45:3:1:012,17070:31579:46088
FAMILYFLOATER:41 - 45:3:1:014,22302:41258:60214
FAMILYFLOATER:41 - 45:3:1:016,23360:43216:63073
FAMILYFLOATER:41 - 45:3:1:018,24515:45352:66190
FAMILYFLOATER:41 - 45:3:1:020,64785:119853:174920
FAMILYFLOATER:41 - 45:3:1:022,73051:135145:197239
FAMILYFLOATER:41 - 45:3:2:002,7236:13386:19537
FAMILYFLOATER:41 - 45:3:2:004,8245:15253:22261
FAMILYFLOATER:41 - 45:3:2:006,9466:17512:25558
FAMILYFLOATER:41 - 45:3:2:008,10934:20227:29521
FAMILYFLOATER:41 - 45:3:2:010,13065:24170:35275
FAMILYFLOATER:41 - 45:3:2:012,15123:27978:40833
FAMILYFLOATER:41 - 45:3:2:014,19283:35674:52065
FAMILYFLOATER:41 - 45:3:2:016,20749:38386:56023
FAMILYFLOATER:41 - 45:3:2:018,22422:41481:60540
FAMILYFLOATER:41 - 45:3:2:020,51847:95916:139986
FAMILYFLOATER:41 - 45:3:2:022,58466:108162:157859
FAMILYFLOATER:41 - 45:4:2:002,9505:17585:25665
FAMILYFLOATER:41 - 45:4:2:004,10590:19592:28592
FAMILYFLOATER:41 - 45:4:2:006,12356:22859:33362
FAMILYFLOATER:41 - 45:4:2:008,14618:27043:39468
FAMILYFLOATER:41 - 45:4:2:010,17472:32323:47175
FAMILYFLOATER:41 - 45:4:2:012,20224:37415:54606
FAMILYFLOATER:41 - 45:4:2:014,26162:48399:70636
FAMILYFLOATER:41 - 45:4:2:016,27793:51418:75042
FAMILYFLOATER:41 - 45:4:2:018,29596:54753:79909
FAMILYFLOATER:41 - 45:4:2:020,70487:130400:190314
FAMILYFLOATER:41 - 45:4:2:022,79319:146740:214162
FAMILYFLOATER:41 - 45:4:3:002,8247:15257:22267
FAMILYFLOATER:41 - 45:4:3:004,9368:17331:25294
FAMILYFLOATER:41 - 45:4:3:006,10870:20109:29348
FAMILYFLOATER:41 - 45:4:3:008,12618:23342:34067
FAMILYFLOATER:41 - 45:4:3:010,15313:28329:41345
FAMILYFLOATER:41 - 45:4:3:012,17930:33171:48412
FAMILYFLOATER:41 - 45:4:3:014,22655:41912:61170
FAMILYFLOATER:41 - 45:4:3:016,24682:45662:66642
FAMILYFLOATER:41 - 45:4:3:018,26915:49793:72671
FAMILYFLOATER:41 - 45:4:3:020,56901:105267:153633
FAMILYFLOATER:41 - 45:4:3:022,64084:118555:173026
FAMILYFLOATER:41 - 45:5:4:002,9258:17128:24998
FAMILYFLOATER:41 - 45:5:4:004,10492:19410:28328
FAMILYFLOATER:41 - 45:5:4:006,12274:22707:33140
FAMILYFLOATER:41 - 45:5:4:008,14302:26459:38617
FAMILYFLOATER:41 - 45:5:4:010,17560:32485:47411
FAMILYFLOATER:41 - 45:5:4:012,20739:38367:55995
FAMILYFLOATER:41 - 45:5:4:014,26026:48149:70271
FAMILYFLOATER:41 - 45:5:4:016,28615:52938:77261
FAMILYFLOATER:41 - 45:5:4:018,31409:58106:84804
FAMILYFLOATER:41 - 45:5:4:020,61957:114620:167283
FAMILYFLOATER:41 - 45:5:4:022,69701:128947:188193
FAMILYFLOATER:41 - 45:5:3:002,10518:19458:28398
FAMILYFLOATER:41 - 45:5:3:004,11938:22086:32234
FAMILYFLOATER:41 - 45:5:3:006,13760:25457:37153
FAMILYFLOATER:41 - 45:5:3:008,16302:30159:44016
FAMILYFLOATER:41 - 45:5:3:010,19720:36482:53245
FAMILYFLOATER:41 - 45:5:3:012,23032:42609:62185
FAMILYFLOATER:41 - 45:5:3:014,29533:54635:79738
FAMILYFLOATER:41 - 45:5:3:016,31726:58693:85660
FAMILYFLOATER:41 - 45:5:3:018,34090:63066:92043
FAMILYFLOATER:41 - 45:5:3:020,75541:139752:203962
FAMILYFLOATER:41 - 45:5:3:022,84938:157135:229332
FAMILYFLOATER:41 - 45:6:4:002,11529:21329:31128
FAMILYFLOATER:41 - 45:6:4:004,13062:24165:35268
FAMILYFLOATER:41 - 45:6:4:006,15165:28055:40945
FAMILYFLOATER:41 - 45:6:4:008,17987:33277:48566
FAMILYFLOATER:41 - 45:6:4:010,21967:40639:59311
FAMILYFLOATER:41 - 45:6:4:012,25840:47805:69769
FAMILYFLOATER:41 - 45:6:4:014,32904:60872:88840
FAMILYFLOATER:41 - 45:6:4:016,35658:65968:96278
FAMILYFLOATER:41 - 45:6:4:018,38584:71380:104176
FAMILYFLOATER:41 - 45:6:4:020,80597:149105:217612
FAMILYFLOATER:41 - 45:6:4:022,90555:167527:244499
FAMILYFLOATER:46 - 50:2:0:002,10881:20129:29378
FAMILYFLOATER:46 - 50:2:0:004,12377:22898:33419
FAMILYFLOATER:46 - 50:2:0:006,13870:25659:37448
FAMILYFLOATER:46 - 50:2:0:008,16138:29855:43572
FAMILYFLOATER:46 - 50:2:0:010,19132:35394:51655
FAMILYFLOATER:46 - 50:2:0:012,21149:39125:57102
FAMILYFLOATER:46 - 50:2:0:014,25751:47640:69528
FAMILYFLOATER:46 - 50:2:0:016,26548:49114:71679
FAMILYFLOATER:46 - 50:2:0:018,27304:50513:73722
FAMILYFLOATER:46 - 50:2:0:020,105991:196083:286175
FAMILYFLOATER:46 - 50:2:0:022,121349:224496:327643
FAMILYFLOATER:46 - 50:2:1:002,7770:14374:20978
FAMILYFLOATER:46 - 50:2:1:004,8946:16550:24154
FAMILYFLOATER:46 - 50:2:1:006,10121:18723:27326
FAMILYFLOATER:46 - 50:2:1:008,11774:21782:31789
FAMILYFLOATER:46 - 50:2:1:010,13961:25829:37696
FAMILYFLOATER:46 - 50:2:1:012,15638:28931:42223
FAMILYFLOATER:46 - 50:2:1:014,19050:35242:51434
FAMILYFLOATER:46 - 50:2:1:016,20088:37163:54238
FAMILYFLOATER:46 - 50:2:1:018,21197:39214:57231
FAMILYFLOATER:46 - 50:2:1:020,70834:131042:191251
FAMILYFLOATER:46 - 50:2:1:022,80985:149821:218658
FAMILYFLOATER:46 - 50:3:1:002,12573:23259:33946
FAMILYFLOATER:46 - 50:3:1:004,14400:26639:38879
FAMILYFLOATER:46 - 50:3:1:006,16220:30007:43794
FAMILYFLOATER:46 - 50:3:1:008,18937:35034:51131
FAMILYFLOATER:46 - 50:3:1:010,22536:41691:60847
FAMILYFLOATER:46 - 50:3:1:012,25148:46524:67901
FAMILYFLOATER:46 - 50:3:1:014,30546:56510:82474
FAMILYFLOATER:46 - 50:3:1:016,31929:59069:86209
FAMILYFLOATER:46 - 50:3:1:018,33355:61707:90059
FAMILYFLOATER:46 - 50:3:1:020,112727:208545:304363
FAMILYFLOATER:46 - 50:3:1:022,128660:238022:347383
FAMILYFLOATER:46 - 50:3:2:002,9421:17430:25438
FAMILYFLOATER:46 - 50:3:2:004,10764:19914:29063
FAMILYFLOATER:46 - 50:3:2:006,12272:22704:33135
FAMILYFLOATER:46 - 50:3:2:008,14081:26050:38019
FAMILYFLOATER:46 - 50:3:2:010,16879:31226:45573
FAMILYFLOATER:46 - 50:3:2:012,19156:35438:51721
FAMILYFLOATER:46 - 50:3:2:014,23389:43270:63151
FAMILYFLOATER:46 - 50:3:2:016,25018:46283:67548
FAMILYFLOATER:46 - 50:3:2:018,26811:49601:72390
FAMILYFLOATER:46 - 50:3:2:020,77148:142724:208300
FAMILYFLOATER:46 - 50:3:2:022,87877:162572:237267
FAMILYFLOATER:46 - 50:4:2:002,14153:26184:38214
FAMILYFLOATER:46 - 50:4:2:004,16140:29859:43578
FAMILYFLOATER:46 - 50:4:2:006,18288:33834:49379
FAMILYFLOATER:46 - 50:4:2:008,21176:39176:57176
FAMILYFLOATER:46 - 50:4:2:010,25379:46951:68524
FAMILYFLOATER:46 - 50:4:2:012,28587:52887:77186
FAMILYFLOATER:46 - 50:4:2:014,34778:64339:93900
FAMILYFLOATER:46 - 50:4:2:016,36748:67983:99218
FAMILYFLOATER:46 - 50:4:2:018,38845:71863:104882
FAMILYFLOATER:46 - 50:4:2:020,118902:219969:321036
FAMILYFLOATER:46 - 50:4:2:022,135411:250511:365610
FAMILYFLOATER:46 - 50:4:3:002,10431:19298:28164
FAMILYFLOATER:46 - 50:4:3:004,11888:21992:32097
FAMILYFLOATER:46 - 50:4:3:006,13677:25303:36928
FAMILYFLOATER:46 - 50:4:3:008,15767:29169:42571
FAMILYFLOATER:46 - 50:4:3:010,19125:35382:51638
FAMILYFLOATER:46 - 50:4:3:012,21965:40635:59305
FAMILYFLOATER:46 - 50:4:3:014,26759:49505:72251
FAMILYFLOATER:46 - 50:4:3:016,28951:53559:78167
FAMILYFLOATER:46 - 50:4:3:018,31303:57911:84518
FAMILYFLOATER:46 - 50:4:3:020,82205:152080:221955
FAMILYFLOATER:46 - 50:4:3:022,93493:172961:252430
FAMILYFLOATER:46 - 50:5:4:002,11442:21169:30895
FAMILYFLOATER:46 - 50:5:4:004,13011:24071:35130
FAMILYFLOATER:46 - 50:5:4:006,15082:27901:40720
FAMILYFLOATER:46 - 50:5:4:008,17452:32286:47120
FAMILYFLOATER:46 - 50:5:4:010,21372:39538:57704
FAMILYFLOATER:46 - 50:5:4:012,24773:45831:66888
FAMILYFLOATER:46 - 50:5:4:014,30131:55742:81352
FAMILYFLOATER:46 - 50:5:4:016,32883:60834:88785
FAMILYFLOATER:46 - 50:5:4:018,35797:66224:96651
FAMILYFLOATER:46 - 50:5:4:020,87261:161433:235604
FAMILYFLOATER:46 - 50:5:4:022,99110:183353:267597
FAMILYFLOATER:46 - 50:5:3:002,15163:28053:40942
FAMILYFLOATER:46 - 50:5:3:004,17263:31937:46611
FAMILYFLOATER:46 - 50:5:3:006,19694:36434:53173
FAMILYFLOATER:46 - 50:5:3:008,22862:42295:61728
FAMILYFLOATER:46 - 50:5:3:010,27625:51106:74587
FAMILYFLOATER:46 - 50:5:3:012,31397:58085:84772
FAMILYFLOATER:46 - 50:5:3:014,38147:70573:102998
FAMILYFLOATER:46 - 50:5:3:016,40681:75260:109839
FAMILYFLOATER:46 - 50:5:3:018,43337:80173:117009
FAMILYFLOATER:46 - 50:5:3:020,123960:229325:334691
FAMILYFLOATER:46 - 50:5:3:022,141028:260901:380774
FAMILYFLOATER:46 - 50:6:4:002,16175:29923:43672
FAMILYFLOATER:46 - 50:6:4:004,18387:34016:49645
FAMILYFLOATER:46 - 50:6:4:006,21098:39032:56966
FAMILYFLOATER:46 - 50:6:4:008,24547:45412:66277
FAMILYFLOATER:46 - 50:6:4:010,29871:55262:80653
FAMILYFLOATER:46 - 50:6:4:012,34206:63280:92355
FAMILYFLOATER:46 - 50:6:4:014,41518:76809:112100
FAMILYFLOATER:46 - 50:6:4:016,44614:82535:120457
FAMILYFLOATER:46 - 50:6:4:018,47831:88487:129143
FAMILYFLOATER:46 - 50:6:4:020,129015:238678:348341
FAMILYFLOATER:46 - 50:6:4:022,146645:271293:395942
FAMILYFLOATER:51 - 55:2:0:002,12332:22815:33298
FAMILYFLOATER:51 - 55:2:0:004,14015:25928:37841
FAMILYFLOATER:51 - 55:2:0:006,16622:30751:44880
FAMILYFLOATER:51 - 55:2:0:008,19289:35684:52080
FAMILYFLOATER:51 - 55:2:0:010,22598:41806:61014
FAMILYFLOATER:51 - 55:2:0:012,24875:46019:67163
FAMILYFLOATER:51 - 55:2:0:014,30541:56501:82461
FAMILYFLOATER:51 - 55:2:0:016,31531:58333:85134
FAMILYFLOATER:51 - 55:2:0:018,32424:59984:87544
FAMILYFLOATER:51 - 55:2:0:020,156187:288946:421706
FAMILYFLOATER:51 - 55:2:0:022,180467:333863:487260
FAMILYFLOATER:51 - 55:2:1:002,8670:16040:23410
FAMILYFLOATER:51 - 55:2:1:004,9963:18432:26901
FAMILYFLOATER:51 - 55:2:1:006,11813:21854:31895
FAMILYFLOATER:51 - 55:2:1:008,13712:25368:37023
FAMILYFLOATER:51 - 55:2:1:010,16093:29772:43451
FAMILYFLOATER:51 - 55:2:1:012,17931:33171:48412
FAMILYFLOATER:51 - 55:2:1:014,21995:40691:59387
FAMILYFLOATER:51 - 55:2:1:016,23154:42836:62517
FAMILYFLOATER:51 - 55:2:1:018,24346:45040:65734
FAMILYFLOATER:51 - 55:2:1:020,102148:188973:275799
FAMILYFLOATER:51 - 55:2:1:022,117872:218063:318254
FAMILYFLOATER:51 - 55:3:1:002,14101:26086:38072
FAMILYFLOATER:51 - 55:3:1:004,16123:29827:43531
FAMILYFLOATER:51 - 55:3:1:006,19101:35336:51572
FAMILYFLOATER:51 - 55:3:1:008,22237:41138:60039
FAMILYFLOATER:51 - 55:3:1:010,26164:48403:70642
FAMILYFLOATER:51 - 55:3:1:012,29050:53742:78435
FAMILYFLOATER:51 - 55:3:1:014,35558:65783:96008
FAMILYFLOATER:51 - 55:3:1:016,37146:68721:100295
FAMILYFLOATER:51 - 55:3:1:018,38715:71623:104530
FAMILYFLOATER:51 - 55:3:1:020,163209:301936:440664
FAMILYFLOATER:51 - 55:3:1:022,188066:347922:507777
FAMILYFLOATER:51 - 55:3:2:002,10406:19252:28097
FAMILYFLOATER:51 - 55:3:2:004,11877:21972:32068
FAMILYFLOATER:51 - 55:3:2:006,14110:26103:38096
FAMILYFLOATER:51 - 55:3:2:008,16186:29944:43702
FAMILYFLOATER:51 - 55:3:2:010,19193:35506:51820
FAMILYFLOATER:51 - 55:3:2:012,21645:40043:58441
FAMILYFLOATER:51 - 55:3:2:014,26587:49187:71786
FAMILYFLOATER:51 - 55:3:2:016,28347:52442:76536
FAMILYFLOATER:51 - 55:3:2:018,30229:55923:81618
FAMILYFLOATER:51 - 55:3:2:020,108781:201246:293710
FAMILYFLOATER:51 - 55:3:2:022,125088:231412:337736
FAMILYFLOATER:51 - 55:4:2:002,15756:29148:42540
FAMILYFLOATER:51 - 55:4:2:004,17948:33205:48461
FAMILYFLOATER:51 - 55:4:2:006,21298:39402:57505
FAMILYFLOATER:51 - 55:4:2:008,24623:45552:66481
FAMILYFLOATER:51 - 55:4:2:010,29169:53962:78756
FAMILYFLOATER:51 - 55:4:2:012,32663:60427:88190
FAMILYFLOATER:51 - 55:4:2:014,40015:74028:108040
FAMILYFLOATER:51 - 55:4:2:016,42198:78067:113936
FAMILYFLOATER:51 - 55:4:2:018,44443:82220:119996
FAMILYFLOATER:51 - 55:4:2:020,169667:313884:458101
FAMILYFLOATER:51 - 55:4:2:022,195104:360942:526781
FAMILYFLOATER:51 - 55:4:3:002,11417:21122:30827
FAMILYFLOATER:51 - 55:4:3:004,13002:24054:35105
FAMILYFLOATER:51 - 55:4:3:006,15516:28704:41892
FAMILYFLOATER:51 - 55:4:3:008,17872:33063:48254
FAMILYFLOATER:51 - 55:4:3:010,21440:39665:57889
FAMILYFLOATER:51 - 55:4:3:012,24454:45239:66025
FAMILYFLOATER:51 - 55:4:3:014,29959:55423:80888
FAMILYFLOATER:51 - 55:4:3:016,32278:59715:87151
FAMILYFLOATER:51 - 55:4:3:018,34723:64238:93753
FAMILYFLOATER:51 - 55:4:3:020,113838:210599:307361
FAMILYFLOATER:51 - 55:4:3:022,130705:241805:352905
FAMILYFLOATER:51 - 55:5:4:002,12429:22993:33558
FAMILYFLOATER:51 - 55:5:4:004,14126:26132:38139
FAMILYFLOATER:51 - 55:5:4:006,16920:31302:45684
FAMILYFLOATER:51 - 55:5:4:008,19557:36180:52803
FAMILYFLOATER:51 - 55:5:4:010,23687:43821:63956
FAMILYFLOATER:51 - 55:5:4:012,27262:50435:73608
FAMILYFLOATER:51 - 55:5:4:014,33330:61660:89990
FAMILYFLOATER:51 - 55:5:4:016,36211:66990:97770
FAMILYFLOATER:51 - 55:5:4:018,39217:72551:105885
FAMILYFLOATER:51 - 55:5:4:020,118893:219952:321011
FAMILYFLOATER:51 - 55:5:4:022,136323:252197:368071
FAMILYFLOATER:51 - 55:5:3:002,16767:31019:45271
FAMILYFLOATER:51 - 55:5:3:004,19073:35285:51497
FAMILYFLOATER:51 - 55:5:3:006,22704:42003:61302
FAMILYFLOATER:51 - 55:5:3:008,26309:48671:71034
FAMILYFLOATER:51 - 55:5:3:010,31416:58120:84824
FAMILYFLOATER:51 - 55:5:3:012,35473:65625:95777
FAMILYFLOATER:51 - 55:5:3:014,43386:80264:117143
FAMILYFLOATER:51 - 55:5:3:016,46130:85340:124551
FAMILYFLOATER:51 - 55:5:3:018,48938:90535:132132
FAMILYFLOATER:51 - 55:5:3:020,174723:323238:471753
FAMILYFLOATER:51 - 55:5:3:022,200723:371337:541951
FAMILYFLOATER:51 - 55:6:4:002,17778:32890:48001
FAMILYFLOATER:51 - 55:6:4:004,20197:37364:54532
FAMILYFLOATER:51 - 55:6:4:006,24109:44602:65095
FAMILYFLOATER:51 - 55:6:4:008,27994:51789:75584
FAMILYFLOATER:51 - 55:6:4:010,33663:62277:90890
FAMILYFLOATER:51 - 55:6:4:012,38281:70821:103360
FAMILYFLOATER:51 - 55:6:4:014,46757:86501:126244
FAMILYFLOATER:51 - 55:6:4:016,50063:92616:135169
FAMILYFLOATER:51 - 55:6:4:018,53431:98848:144265
FAMILYFLOATER:51 - 55:6:4:020,179779:332591:485403
FAMILYFLOATER:51 - 55:6:4:022,206340:381729:557118
FAMILYFLOATER:56 - 60:2:0:002,15986:29575:43163
FAMILYFLOATER:56 - 60:2:0:004,18289:33834:49379
FAMILYFLOATER:56 - 60:2:0:006,20667:38234:55801
FAMILYFLOATER:56 - 60:2:0:008,23920:44252:64584
FAMILYFLOATER:56 - 60:2:0:010,27694:51234:74774
FAMILYFLOATER:56 - 60:2:0:012,30353:56154:81954
FAMILYFLOATER:56 - 60:2:0:014,37583:69529:101475
FAMILYFLOATER:56 - 60:2:0:016,38855:71882:104909
FAMILYFLOATER:56 - 60:2:0:018,39954:73914:107875
FAMILYFLOATER:56 - 60:2:0:020,224240:414845:605449
FAMILYFLOATER:56 - 60:2:0:022,260491:481909:703326
FAMILYFLOATER:56 - 60:2:1:002,10940:20239:29538
FAMILYFLOATER:56 - 60:2:1:004,12619:23344:34070
FAMILYFLOATER:56 - 60:2:1:006,14343:26536:38727
FAMILYFLOATER:56 - 60:2:1:008,16608:30725:44841
FAMILYFLOATER:56 - 60:2:1:010,19281:35670:52059
FAMILYFLOATER:56 - 60:2:1:012,21357:39510:57663
FAMILYFLOATER:56 - 60:2:1:014,26400:48839:71279
FAMILYFLOATER:56 - 60:2:1:016,27734:51308:74883
FAMILYFLOATER:56 - 60:2:1:018,29055:53752:78448
FAMILYFLOATER:56 - 60:2:1:020,144684:267665:390647
FAMILYFLOATER:56 - 60:2:1:022,167891:310599:453306
FAMILYFLOATER:56 - 60:3:1:002,17943:33195:48447
FAMILYFLOATER:56 - 60:3:1:004,20619:38145:55671
FAMILYFLOATER:56 - 60:3:1:006,23372:43239:63106
FAMILYFLOATER:56 - 60:3:1:008,27126:50184:73241
FAMILYFLOATER:56 - 60:3:1:010,31545:58359:85173
FAMILYFLOATER:56 - 60:3:1:012,34834:64443:94051
FAMILYFLOATER:56 - 60:3:1:014,42994:79538:116083
FAMILYFLOATER:56 - 60:3:1:016,44879:83027:121174
FAMILYFLOATER:56 - 60:3:1:018,46665:86330:125995
FAMILYFLOATER:56 - 60:3:1:020,231758:428753:625748
FAMILYFLOATER:56 - 60:3:1:022,268598:496907:725215
FAMILYFLOATER:56 - 60:3:2:002,12889:23845:34801
FAMILYFLOATER:56 - 60:3:2:004,14783:27348:39913
FAMILYFLOATER:56 - 60:3:2:006,16894:31254:45614
FAMILYFLOATER:56 - 60:3:2:008,19374:35841:52309
FAMILYFLOATER:56 - 60:3:2:010,22701:41996:61292
FAMILYFLOATER:56 - 60:3:2:012,25415:47017:68620
FAMILYFLOATER:56 - 60:3:2:014,31434:58152:84871
FAMILYFLOATER:56 - 60:3:2:016,33386:61765:90143
FAMILYFLOATER:56 - 60:3:2:018,35412:65513:95613
FAMILYFLOATER:56 - 60:3:2:020,151878:280975:410071
FAMILYFLOATER:56 - 60:3:2:022,175676:325001:474326
FAMILYFLOATER:56 - 60:4:2:002,19789:36610:53431
FAMILYFLOATER:56 - 60:4:2:004,22667:41934:61200
FAMILYFLOATER:56 - 60:4:2:006,25796:47722:69649
FAMILYFLOATER:56 - 60:4:2:008,29772:55078:80384
FAMILYFLOATER:56 - 60:4:2:010,34835:64445:94054
FAMILYFLOATER:56 - 60:4:2:012,38754:71694:104635
FAMILYFLOATER:56 - 60:4:2:014,47844:88511:129178
FAMILYFLOATER:56 - 60:4:2:016,50340:93130:135919
FAMILYFLOATER:56 - 60:4:2:018,52815:97709:142602
FAMILYFLOATER:56 - 60:4:2:020,238716:441624:644533
FAMILYFLOATER:56 - 60:4:2:022,276142:510863:745583
FAMILYFLOATER:56 - 60:4:3:002,13901:25717:37534
FAMILYFLOATER:56 - 60:4:3:004,15908:29429:42951
FAMILYFLOATER:56 - 60:4:3:006,18299:33854:49409
FAMILYFLOATER:56 - 60:4:3:008,21060:38960:56861
FAMILYFLOATER:56 - 60:4:3:010,24948:46154:67361
FAMILYFLOATER:56 - 60:4:3:012,28224:52214:76205
FAMILYFLOATER:56 - 60:4:3:014,34806:64390:93975
FAMILYFLOATER:56 - 60:4:3:016,37320:69042:100764
FAMILYFLOATER:56 - 60:4:3:018,39904:73823:107742
FAMILYFLOATER:56 - 60:4:3:020,156934:290329:423723
FAMILYFLOATER:56 - 60:4:3:022,181294:335394:489494
FAMILYFLOATER:56 - 60:5:4:002,14913:27588:40264
FAMILYFLOATER:56 - 60:5:4:004,17031:31508:45984
FAMILYFLOATER:56 - 60:5:4:006,19704:36452:53201
FAMILYFLOATER:56 - 60:5:4:008,22745:42078:61410
FAMILYFLOATER:56 - 60:5:4:010,27195:50311:73427
FAMILYFLOATER:56 - 60:5:4:012,31032:57410:83788
FAMILYFLOATER:56 - 60:5:4:014,38177:70627:103077
FAMILYFLOATER:56 - 60:5:4:016,41253:76318:111382
FAMILYFLOATER:56 - 60:5:4:018,44398:82137:119875
FAMILYFLOATER:56 - 60:5:4:020,161990:299681:437373
FAMILYFLOATER:56 - 60:5:4:022,186911:345786:504661
FAMILYFLOATER:56 - 60:5:3:002,20801:38482:56164
FAMILYFLOATER:56 - 60:5:3:004,23793:44016:64240
FAMILYFLOATER:56 - 60:5:3:006,27201:50322:73443
FAMILYFLOATER:56 - 60:5:3:008,31458:58198:84937
FAMILYFLOATER:56 - 60:5:3:010,37083:68603:100123
FAMILYFLOATER:56 - 60:5:3:012,41563:76891:112219
FAMILYFLOATER:56 - 60:5:3:014,51215:94749:138282
FAMILYFLOATER:56 - 60:5:3:016,54274:100407:146540
FAMILYFLOATER:56 - 60:5:3:018,57307:106018:154729
FAMILYFLOATER:56 - 60:5:3:020,243772:450978:658185
FAMILYFLOATER:56 - 60:5:3:022,281760:521256:760751
FAMILYFLOATER:56 - 60:6:4:002,21813:40353:58894
FAMILYFLOATER:56 - 60:6:4:004,24916:46095:67274
FAMILYFLOATER:56 - 60:6:4:006,28606:52921:77236
FAMILYFLOATER:56 - 60:6:4:008,33143:61315:89487
FAMILYFLOATER:56 - 60:6:4:010,39329:72760:106190
FAMILYFLOATER:56 - 60:6:4:012,44371:82087:119802
FAMILYFLOATER:56 - 60:6:4:014,54586:100985:147383
FAMILYFLOATER:56 - 60:6:4:016,58207:107683:157158
FAMILYFLOATER:56 - 60:6:4:018,61801:114332:166862
FAMILYFLOATER:56 - 60:6:4:020,248828:460331:671835
FAMILYFLOATER:56 - 60:6:4:022,287377:531648:775919
FAMILYFLOATER:61 - 65:2:0:002,21915:40543:59170
FAMILYFLOATER:61 - 65:2:0:004,25933:47976:70019
FAMILYFLOATER:61 - 65:2:0:006,29519:54611:79702
FAMILYFLOATER:61 - 65:2:0:008,28947:53552:78157
FAMILYFLOATER:61 - 65:2:0:010,33015:61078:89141
FAMILYFLOATER:61 - 65:2:0:012,35986:66574:97162
FAMILYFLOATER:61 - 65:2:0:014,45041:83326:121612
FAMILYFLOATER:61 - 65:2:0:016,46647:86298:125948
FAMILYFLOATER:61 - 65:2:0:018,47958:88722:129486
FAMILYFLOATER:61 - 65:2:0:020,258360:477966:697572
FAMILYFLOATER:61 - 65:2:0:022,299676:554401:809125
FAMILYFLOATER:61 - 65:2:1:002,14714:27220:39727
FAMILYFLOATER:61 - 65:2:1:004,17470:32319:47168
FAMILYFLOATER:61 - 65:2:1:006,19960:36926:53892
FAMILYFLOATER:61 - 65:2:1:008,19584:36230:52877
FAMILYFLOATER:61 - 65:2:1:010,22401:41442:60483
FAMILYFLOATER:61 - 65:2:1:012,24616:45539:66463
FAMILYFLOATER:61 - 65:2:1:014,30748:56885:83021
FAMILYFLOATER:61 - 65:2:1:016,32215:59598:86982
FAMILYFLOATER:61 - 65:2:1:018,33578:62119:90661
FAMILYFLOATER:61 - 65:2:1:020,165485:306147:446810
FAMILYFLOATER:61 - 65:2:1:022,191779:354791:517804
FAMILYFLOATER:61 - 65:3:1:002,24263:44887:65510
FAMILYFLOATER:61 - 65:3:1:004,28753:53193:77634
FAMILYFLOATER:61 - 65:3:1:006,32791:60663:88536
FAMILYFLOATER:61 - 65:3:1:008,32225:59616:87007
FAMILYFLOATER:61 - 65:3:1:010,36896:68258:99620
FAMILYFLOATER:61 - 65:3:1:012,40448:74828:109208
FAMILYFLOATER:61 - 65:3:1:014,50479:93386:136293
FAMILYFLOATER:61 - 65:3:1:016,52639:97382:142125
FAMILYFLOATER:61 - 65:3:1:018,54558:100933:147307
FAMILYFLOATER:61 - 65:3:1:020,265810:491749:717688
FAMILYFLOATER:61 - 65:3:1:022,307644:569142:830639
FAMILYFLOATER:61 - 65:3:2:002,17102:31639:46177
FAMILYFLOATER:61 - 65:3:2:004,20186:37345:54504
FAMILYFLOATER:61 - 65:3:2:006,23148:42823:62499
FAMILYFLOATER:61 - 65:3:2:008,22555:41726:60898
FAMILYFLOATER:61 - 65:3:2:010,25991:48083:70176
FAMILYFLOATER:61 - 65:3:2:012,28799:53278:77756
FAMILYFLOATER:61 - 65:3:2:014,35971:66546:97122
FAMILYFLOATER:61 - 65:3:2:016,38001:70303:102604
